市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
黑龙江 绥化_2016	31881	1003853	0.002186367391436495	1003491	501745.5	0.003535657021338507	0.010595012810279315	0.0	0.0	8.171473386408049e-05	0	0	2	0
黑龙江 绥化_2017	22532	755212	0.001993366922559351	755004	251668.0	0.003227797468622683	0.009826438005626461	0.0	0.0	6.225132582079035e-05	0	0	0	0
黑龙江 绥化_2018	21380	672145	0.002783578968051361	671797	74644.11111111111	0.004462657618298385	0.008352225449056783	0.0	0.0	0.00025602972326461715	0	0	1	0
黑龙江 绥化_2019	19436	553327	0.0022546771884935464	552629	552629.0	0.003626302637031354	0.008817850673779335	0.0	0.0	8.685754819236776e-05	0	0	4	0
黑龙江 绥化_2020	24030	607698	0.0017149603910109692	606428	606428.0	0.0027604266293772715	0.008050419835495723	0.0	0.0	0.00022756205188414783	0	0	0	0
黑龙江 绥化_2021	13896	423873	0.0019400565023755072	423699	423699.0	0.003160262356059372	0.009695562179754967	0.0	0.0	4.012282304182922e-05	0	0	60	0
黑龙江 绥化_2022	6974	242099	0.0015866260644649475	242023	242023.0	0.0025947947095937163	0.011275787838345942	0.0	0.0	4.131838709544134e-05	0	0	0	0
黑龙江 绥化_2023	7901	229887	0.0019496146464800317	229789	229789.0	0.003224697439825231	0.0054789393748177675	0.0	0.0	0.00014796182584893096	0	0	0	0
黑龙江 绥化_2024	9862	292362	0.002036165028608974	292216	73054.0	0.0033913269636159553	0.0067176335313603635	0.0	0.0	9.581953075806937e-05	0	0	0	0
黑龙江 鸡西_2010	10779	461943	0.0013815833638306672	461789	461789.0	0.0023712128266372735	0.009123214281847336	0.0	0.0	8.012317313751518e-05	0	0	0	0
黑龙江 鸡西_2011	95235	3103249	0.0018665768302688482	3101935	221566.7857142857	0.0031467454991803505	0.011781678210536327	0.0	0.0	7.318012788791513e-05	0	0	12	0
黑龙江 鸡西_2012	106101	4117568	0.002101048580674629	4116040	4116040.0	0.003443601131184342	0.017800361512521744	0.0	0.0	0.00010908543162845842	0	0	1	0
黑龙江 鸡西_2013	36656	1346058	0.0019432641189470854	1345674	112139.5	0.0031857641598187973	0.012040063195097773	0.0	0.0	9.36333762857869e-05	0	0	3	0
黑龙江 鸡西_2014	30414	966855	0.002340315637262462	966109	966109.0	0.0037200771341535997	0.017093309347081954	0.0	0.0	0.00010764830883471741	0	0	1	0
黑龙江 鸡西_2015	24360	764591	0.0023908699390308534	764157	152831.4	0.003877475440256387	0.007138585395409582	0.0	0.0	0.00011646821268404268	0	0	5	0
黑龙江 鸡西_2016	25045	874140	0.0026655465801117494	873742	218435.5	0.00440404604562903	0.006396625090701832	0.0	0.0	0.00010414973756555138	0	0	0	0
黑龙江 鸡西_2017	19952	734554	0.002203843241093368	734172	367086.0	0.0036462845218831553	0.006352734781495345	0.0	0.0	6.129353884375869e-05	0	0	0	0
